lo_val	la_val
129.1099904	35.98182458
126.9392566	35.23576692
127.0090697	37.64839238
127.5197308	34.93393718
126.9399388	35.9551768
128.9113093	37.77168546
128.5395578	38.19660308
127.7298534	37.87858308
126.8298494	37.3184688
126.952277	37.39189276
128.673825	35.21852676
128.5995647	35.87182465
127.4304849	36.33539483
127.38259	36.35074797
126.8403352	37.48105995
127.0224459	37.57495638
126.7008955	37.44576523
126.6278396	37.45373893
126.6825046	35.97065525
127.1475397	35.82055538
127.4374148	36.64459098
128.1802059	36.12607202
128.6837088	37.3691162
127.1068217	37.29119108
127.0879002	37.72913076
128.7116076	35.28667058
128.0380068	35.16334769
128.2602618	36.3939147
128.5887619	36.80079293
129.3336705	36.12111889
126.8495248	35.2184981
128.5473729	35.91736386
127.4312575	36.35189435
